PTFECONTAB;PTASIGNACION;PTMONEDA;PTIMPORTE;PTCOMPENSADA;PTCLAVREF1;PTESTADOCOMPENSADO;UOPNOMBREUNIDAD;CODSUCAGE;DISTR_AGE;PROV_AGE;DEP_AGE
3/06/2019;17162419;PEN;545;5/07/2019;194774;1;AG. ARMENDARIZ;194074;Miraflores;Lima;LIMA
3/06/2019;17162553;PEN;20000;4/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
3/06/2019;17162926;PEN;1001;6/06/2019;570296;1;VICTOR LARCO;570018;Victor Larco;Trujillo;LA LIBERTAD
3/06/2019;17162948;PEN;100;7/06/2019;72;1;AG. MEXICO;191072;La Victoria;Lima;LIMA
3/06/2019;17162958;PEN;416;4/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
3/06/2019;17162959;PEN;100;10/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
3/06/2019;17162961;USD;31;4/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
3/06/2019;17163217;PEN;201;4/06/2019;533208;1;AG. SICUANI;533000;Sicuani;Canchis;CUSCO
3/06/2019;17163222;PEN;48;2/07/2019;82;1;AG.EL SOL;191082;San Juan de Lurigancho;Lima;LIMA
3/06/2019;17163250;PEN;100;5/06/2019;255926;1;AG. IMPERIAL;255001;Imperial;Cañete;LIMA
3/06/2019;17163392;PEN;95;3/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
3/06/2019;17163410;PEN;209;7/06/2019;120;1;AG. PROCERES;191120;San Juan de Lurigancho;Lima;LIMA
3/06/2019;17163436;PEN;1000;5/06/2019;560208;1;AG. TINGO MARIA B SERV;560000;Rupa Rupa;Leoncio Prado;HUANUCO
3/06/2019;17163455;PEN;9000;4/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
3/06/2019;17163457;PEN;201;4/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
3/06/2019;17163494;USD;200;6/06/2019;194786;1;AG. CC.MONTERRICO;194086;Santiago de Surco;Lima;LIMA
3/06/2019;17163515;PEN;100;3/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
4/06/2019;17163577;PEN;5000;4/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
4/06/2019;17163578;PEN;5000;4/06/2019;193827;1;AG.EBONY;193027;San Borja;Lima;LIMA
4/06/2019;17163731;PEN;5000;4/06/2019;173;1;Punto Bcp Santa Clara;191173;Ate;Lima;LIMA
4/06/2019;17164047;PEN;3810;5/02/2020;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
4/06/2019;17164061;USD;100;7/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
4/06/2019;17164177;PEN;30000;5/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
4/06/2019;17164977;USD;800;5/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
4/06/2019;17165681;USD;200;4/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
4/06/2019;17166570;PEN;60;7/06/2019;193840;1;AG.LA MARINA OPEN PLAZA;193040;San Miguel;Lima;LIMA
4/06/2019;17167219;PEN;1000;5/06/2019;193864;1;AG. DEL AIRE;193064;San Luis;Lima;LIMA
4/06/2019;17167226;USD;3300;19/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
4/06/2019;17167267;PEN;20;17/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
4/06/2019;17167572;PEN;100;10/06/2019;425208;1;MOLLENDO BANCA DE SERVICIO;425000;Mollendo;Islay;AREQUIPA
4/06/2019;17167613;PEN;70;4/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
4/06/2019;17167635;PEN;200;7/06/2019;365208;1;AG. HUANUCO BANCA DE SERVICIO;365000;Huanuco;Huanuco;HUANUCO
4/06/2019;17167692;PEN;2500;6/06/2019;410208;1;AG. LA MERCED BCA SERV.;410000;Chanchamayo;Chanchamayo;JUNIN
4/06/2019;17167705;PEN;396;14/06/2019;430208;1;AG. MOQUEGUA BANCA DE SERV.;430000;Moquegua;Mariscal Nieto;MOQUEGUA
4/06/2019;17167711;PEN;241;4/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
4/06/2019;17167717;PEN;1000;7/06/2019;550208;1;AG. TARAPOTO BCA SERV.;550000;Tarapoto;San Martin;SAN MARTIN
5/06/2019;17167816;PEN;6297;5/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
5/06/2019;17167885;PEN;260;7/06/2019;194761;1;AG.OPEN PLAZA ANGAMOS;194061;Surquillo;Lima;LIMA
5/06/2019;17168087;PEN;5000;5/06/2019;173;1;Punto Bcp Santa Clara;191173;Ate;Lima;LIMA
5/06/2019;17168134;PEN;178;13/06/2019;142;1;AG. MUNICIPALIDAD INDEPENDENCIA;191142;Independencia;Lima;LIMA
5/06/2019;17168220;USD;20000;5/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
5/06/2019;17168251;PEN;3;6/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
5/06/2019;17168261;PEN;13;10/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
5/06/2019;17168271;PEN;35;10/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
5/06/2019;17168290;PEN;9472;5/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
5/06/2019;17168703;PEN;3943500;5/06/2019;550970;1;AG. ALCIDES CARRION;550001;Tarapoto;San Martin;SAN MARTIN
5/06/2019;17169369;PEN;584;7/06/2019;194763;1;AG. CASTRO IGLESIAS;194063;San Juan de Miraflores;Lima;LIMA
5/06/2019;17169517;PEN;2379;7/06/2019;540911;1;AG. BOLOGNESI;540002;Tacna;Tacna;TACNA
5/06/2019;17169535;PEN;791;7/06/2019;194712;1;AG. VISTA ALEGRE;194012;Santiago de Surco;Lima;LIMA
5/06/2019;17169685;PEN;2980;6/06/2019;141;1;AG. NARANJAL;191141;Los Olivos;Lima;LIMA
5/06/2019;17170237;PEN;427;10/06/2019;193850;1;AG.MUSA;193050;La Molina;Lima;LIMA
5/06/2019;17170419;USD;45000;6/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
5/06/2019;17170645;PEN;695;5/06/2019;365208;1;AG. HUANUCO BANCA DE SERVICIO;365000;Huanuco;Huanuco;HUANUCO
5/06/2019;17171143;PEN;20;12/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
5/06/2019;17171310;PEN;100;11/06/2019;193876;1;AG. DASSO;193076;San Isidro;Lima;LIMA
5/06/2019;17171369;PEN;200;6/06/2019;98;1;AG.CAILLOMA;191098;Lima;Lima;LIMA
5/06/2019;17171374;PEN;0;5/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
5/06/2019;17171402;PEN;30000;6/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
5/06/2019;17171443;PEN;63;7/06/2019;65;1;AG.COLLIQUE;191065;Comas;Lima;LIMA
5/06/2019;17171487;PEN;200;7/06/2019;193810;1;AG. PARDO Y ALIAGA;193010;San Isidro;Lima;LIMA
5/06/2019;17171493;USD;693;6/06/2019;570940;1;AG. HUSARES DE JUNIN;570007;Trujillo;Trujillo;LA LIBERTAD
5/06/2019;17171514;USD;30;12/06/2019;194709;1;MIRAFLORES AG. SAN JUAN DE MIRAFLORES;194009;San Juan de Miraflores;Lima;LIMA
5/06/2019;17171537;PEN;200;10/06/2019;193803;1;AG. CAMACHO;193003;La Molina;Lima;LIMA
5/06/2019;17171542;PEN;300;6/06/2019;585208;1;AG. YURIMAGUAS BCA SERV;585000;Yurimaguas;Alto Amazonas;LORETO
5/06/2019;17171580;PEN;10;6/06/2019;255208;1;AG. CANETE BCA SERV.;255000;San Vicente de Cañete;Cañete;LIMA
5/06/2019;17171600;USD;200;6/06/2019;194709;1;MIRAFLORES AG. SAN JUAN DE MIRAFLORES;194009;San Juan de Miraflores;Lima;LIMA
5/06/2019;17171604;USD;300;21/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
5/06/2019;17171643;PEN;1000;14/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
5/06/2019;17171658;USD;100;17/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
5/06/2019;17171690;USD;70;5/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
6/06/2019;17171727;PEN;5000;6/06/2019;193827;1;AG.EBONY;193027;San Borja;Lima;LIMA
6/06/2019;17171888;PEN;5000;6/06/2019;173;1;Punto Bcp Santa Clara;191173;Ate;Lima;LIMA
6/06/2019;17171902;USD;100;6/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
6/06/2019;17172016;PEN;5000;6/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
6/06/2019;17172097;PEN;100;6/06/2019;390208;1;AG. IQUITOS BANCA DE SERVICIO;390000;Iquitos;Maynas;LORETO
6/06/2019;17172168;PEN;15;10/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
6/06/2019;17172180;PEN;565;7/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
6/06/2019;17172192;PEN;383;6/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
13/06/2019;17193274;USD;200000;13/06/2019;550208;1;AG. TARAPOTO BCA SERV.;550000;Tarapoto;San Martin;SAN MARTIN
13/06/2019;17193292;PEN;5000;13/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
13/06/2019;17193318;PEN;5000;13/06/2019;173;1;Punto Bcp Santa Clara;191173;Ate;Lima;LIMA
13/06/2019;17193324;USD;300;13/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
13/06/2019;17193774;PEN;555;18/06/2019;540911;1;AG. BOLOGNESI;540002;Tacna;Tacna;TACNA
13/06/2019;17193877;PEN;5;14/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
13/06/2019;17194308;PEN;414;13/06/2019;430208;1;AG. MOQUEGUA BANCA DE SERV.;430000;Moquegua;Mariscal Nieto;MOQUEGUA
13/06/2019;17194845;USD;100;26/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
13/06/2019;17194896;PEN;113;1/07/2019;142;1;AG. MUNICIPALIDAD INDEPENDENCIA;191142;Independencia;Lima;LIMA
13/06/2019;17195247;PEN;100;17/06/2019;98;1;AG.CAILLOMA;191098;Lima;Lima;LIMA
13/06/2019;17196125;PEN;40;17/06/2019;193833;1;AG. BOLIVAR;193033;Pueblo Libre;Lima;LIMA
13/06/2019;17196132;PEN;1000000;14/06/2019;285264;1;AG. HUAYRUROPATA;285008;Wanchaq;Cusco;CUSCO
13/06/2019;17196215;PEN;107;17/06/2019;194712;1;AG. VISTA ALEGRE;194012;Santiago de Surco;Lima;LIMA
13/06/2019;17196275;PEN;364;14/06/2019;193840;1;AG.LA MARINA OPEN PLAZA;193040;San Miguel;Lima;LIMA
13/06/2019;17196316;PEN;50;14/06/2019;310208;1;AG. CHIMBOTE BCA SERV.;310000;Chimbote;Santa;ANCASH
13/06/2019;17196402;PEN;35000;14/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
13/06/2019;17196426;PEN;100;21/06/2019;23;1;AG.HABICH;191023;San Martin de Porres;Lima;LIMA
13/06/2019;17196454;USD;465;20/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
13/06/2019;17196484;PEN;50;18/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
13/06/2019;17196555;PEN;100;17/06/2019;98;1;AG.CAILLOMA;191098;Lima;Lima;LIMA
13/06/2019;17196595;PEN;250;18/06/2019;58;1;AG.PLAZA LIMA NORTE;191058;Independencia;Lima;LIMA
14/06/2019;17196637;PEN;5000;14/06/2019;193827;1;AG.EBONY;193027;San Borja;Lima;LIMA
14/06/2019;17196687;PEN;5000;14/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
6/06/2019;17173120;PEN;776000;6/06/2019;380999;1;AG. PARCONA;380007;Parcona;Ica;ICA
6/06/2019;17174005;PEN;22;10/06/2019;550208;1;AG. TARAPOTO BCA SERV.;550000;Tarapoto;San Martin;SAN MARTIN
6/06/2019;17174578;PEN;2017;10/06/2019;193803;1;AG. CAMACHO;193003;La Molina;Lima;LIMA
6/06/2019;17174688;PEN;217;10/06/2019;193803;1;AG. CAMACHO;193003;La Molina;Lima;LIMA
6/06/2019;17174833;PEN;416;7/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
6/06/2019;17174843;USD;31;7/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
6/06/2019;17175062;USD;100;7/06/2019;193810;1;AG. PARDO Y ALIAGA;193010;San Isidro;Lima;LIMA
6/06/2019;17175179;PEN;100;10/06/2019;310208;1;AG. CHIMBOTE BCA SERV.;310000;Chimbote;Santa;ANCASH
6/06/2019;17175203;PEN;100;13/06/2019;425208;1;MOLLENDO BANCA DE SERVICIO;425000;Mollendo;Islay;AREQUIPA
7/06/2019;17175338;PEN;5000;7/06/2019;193827;1;AG.EBONY;193027;San Borja;Lima;LIMA
7/06/2019;17175516;PEN;5000;7/06/2019;173;1;Punto Bcp Santa Clara;191173;Ate;Lima;LIMA
7/06/2019;17175813;PEN;5000;7/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
7/06/2019;17176079;PEN;348;10/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
7/06/2019;17176245;PEN;55;11/06/2019;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
7/06/2019;17176255;PEN;40;5/02/2020;305208;1;AG. CHICLAYO BCA SERV.;305000;Chiclayo;Chiclayo;LAMBAYEQUE
7/06/2019;17176326;PEN;2799;10/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
7/06/2019;17177012;USD;80;21/06/2019;193827;1;AG.EBONY;193027;San Borja;Lima;LIMA
7/06/2019;17177080;PEN;100;7/06/2019;40;1;AG.MEGA PLAZA II;191040;Independencia;Lima;LIMA
7/06/2019;17177204;USD;10912;10/06/2019;98;1;AG.CAILLOMA;191098;Lima;Lima;LIMA
7/06/2019;17177455;PEN;680;26/06/2019;194774;1;AG. ARMENDARIZ;194074;Miraflores;Lima;LIMA
7/06/2019;17177511;PEN;34239;10/06/2019;194719;1;AG. CHACARILLA;194019;Santiago de Surco;Lima;LIMA
7/06/2019;17178725;USD;7000;10/06/2019;193876;1;AG. DASSO;193076;San Isidro;Lima;LIMA
7/06/2019;17179092;USD;34;10/06/2019;194761;1;AG.OPEN PLAZA ANGAMOS;194061;Surquillo;Lima;LIMA
7/06/2019;17179123;USD;234;10/06/2019;194734;1;AG. EL EJERCITO;194034;Miraflores;Lima;LIMA
7/06/2019;17179172;PEN;1;12/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
7/06/2019;17179315;PEN;105;10/06/2019;310208;1;AG. CHIMBOTE BCA SERV.;310000;Chimbote;Santa;ANCASH
7/06/2019;17179316;PEN;903;21/06/2019;30;1;AG. TARAPACA;191030;Rimac;Lima;LIMA
7/06/2019;17179328;PEN;30000;10/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
7/06/2019;17179333;PEN;359;18/06/2019;410208;1;AG. LA MERCED BCA SERV.;410000;Chanchamayo;Chanchamayo;JUNIN
7/06/2019;17179335;PEN;50;10/06/2019;194755;1;AG. CC EL POLO;194055;Santiago de Surco;Lima;LIMA
7/06/2019;17179384;PEN;1000;10/06/2019;425208;1;MOLLENDO BANCA DE SERVICIO;425000;Mollendo;Islay;AREQUIPA
7/06/2019;17179429;PEN;0;7/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
7/06/2019;17179448;PEN;90000;10/06/2019;455208;1;AG. PAITA BCA SERV.;455000;Paita;Paita;PIURA
7/06/2019;17179451;USD;5200;10/06/2019;455208;1;AG. PAITA BCA SERV.;455000;Paita;Paita;PIURA
8/06/2019;17179561;PEN;5000;10/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
8/06/2019;17179826;PEN;100;12/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
8/06/2019;17180075;PEN;1647000;10/06/2019;380956;1;AG. LUREN;380004;Ica;Ica;ICA
8/06/2019;17181320;USD;100;24/06/2019;193803;1;AG. CAMACHO;193003;La Molina;Lima;LIMA
8/06/2019;17181350;PEN;100;18/06/2019;120;1;AG. PROCERES;191120;San Juan de Lurigancho;Lima;LIMA
8/06/2019;17181370;PEN;200;10/06/2019;120;1;AG. PROCERES;191120;San Juan de Lurigancho;Lima;LIMA
8/06/2019;17181429;USD;100;24/06/2019;5;1;AG.GRAU;191005;La Victoria;Lima;LIMA
8/06/2019;17181445;PEN;100;10/06/2019;310208;1;AG. CHIMBOTE BCA SERV.;310000;Chimbote;Santa;ANCASH
8/06/2019;17181451;USD;70;24/06/2019;5;1;AG.GRAU;191005;La Victoria;Lima;LIMA
8/06/2019;17181467;PEN;999;10/06/2019;485208;1;AG. PTO MALDONADO BCA SERV.;485000;Tambopata;Tambopata;MADRE DE DIOS
10/06/2019;17181547;PEN;5000;10/06/2019;193827;1;AG.EBONY;193027;San Borja;Lima;LIMA
10/06/2019;17181567;PEN;5000;10/06/2019;173;1;Punto Bcp Santa Clara;191173;Ate;Lima;LIMA
10/06/2019;17181666;PEN;9978;11/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
10/06/2019;17181803;USD;500;10/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
10/06/2019;17181968;PEN;5000;10/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
10/06/2019;17182722;USD;2000;11/06/2019;141;1;AG. NARANJAL;191141;Los Olivos;Lima;LIMA
10/06/2019;17182745;USD;25000;11/06/2019;141;1;AG. NARANJAL;191141;Los Olivos;Lima;LIMA
19/06/2019;17213996;USD;16800;20/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
19/06/2019;17214043;PEN;500;20/06/2019;18;1;AG.BELAUNDE - COMAS;191018;Comas;Lima;LIMA
19/06/2019;17214083;PEN;45;28/06/2019;120;1;AG. PROCERES;191120;San Juan de Lurigancho;Lima;LIMA
19/06/2019;17214210;PEN;103;5/07/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
19/06/2019;17214701;PEN;2310;27/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
19/06/2019;17214703;USD;100;25/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
19/06/2019;17214797;PEN;0;19/06/2019;194761;1;AG.OPEN PLAZA ANGAMOS;194061;Surquillo;Lima;LIMA
19/06/2019;17214801;PEN;1;19/06/2019;193820;1;AG. ANGAMOS;193020;Surquillo;Lima;LIMA
19/06/2019;17214921;PEN;0;19/06/2019;194761;1;AG.OPEN PLAZA ANGAMOS;194061;Surquillo;Lima;LIMA
19/06/2019;17215489;PEN;0;19/06/2019;193850;1;AG.MUSA;193050;La Molina;Lima;LIMA
19/06/2019;17215499;USD;400;21/06/2019;58;1;AG.PLAZA LIMA NORTE;191058;Independencia;Lima;LIMA
19/06/2019;17215521;PEN;4;24/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
19/06/2019;17215528;PEN;0;19/06/2019;194761;1;AG.OPEN PLAZA ANGAMOS;194061;Surquillo;Lima;LIMA
19/06/2019;17215543;PEN;0;19/06/2019;194761;1;AG.OPEN PLAZA ANGAMOS;194061;Surquillo;Lima;LIMA
19/06/2019;17215646;PEN;0;19/06/2019;40;1;AG.MEGA PLAZA II;191040;Independencia;Lima;LIMA
19/06/2019;17215656;USD;0;19/06/2019;23;1;AG.HABICH;191023;San Martin de Porres;Lima;LIMA
19/06/2019;17215672;PEN;100;27/06/2019;193810;1;AG. PARDO Y ALIAGA;193010;San Isidro;Lima;LIMA
19/06/2019;17215728;USD;0;19/06/2019;40;1;AG.MEGA PLAZA II;191040;Independencia;Lima;LIMA
19/06/2019;17215777;PEN;0;19/06/2019;23;1;AG.HABICH;191023;San Martin de Porres;Lima;LIMA
19/06/2019;17215778;PEN;0;19/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
19/06/2019;17215816;PEN;0;19/06/2019;193840;1;AG.LA MARINA OPEN PLAZA;193040;San Miguel;Lima;LIMA
19/06/2019;17215846;PEN;60;25/06/2019;430208;1;AG. MOQUEGUA BANCA DE SERV.;430000;Moquegua;Mariscal Nieto;MOQUEGUA
19/06/2019;17215858;PEN;0;19/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
19/06/2019;17215859;PEN;0;20/06/2019;550208;1;AG. TARAPOTO BCA SERV.;550000;Tarapoto;San Martin;SAN MARTIN
19/06/2019;17215871;PEN;1000;9/07/2019;194786;1;AG. CC.MONTERRICO;194086;Santiago de Surco;Lima;LIMA
19/06/2019;17215880;PEN;0;19/06/2019;194786;1;AG. CC.MONTERRICO;194086;Santiago de Surco;Lima;LIMA
19/06/2019;17215952;PEN;50;24/06/2019;98;1;AG.CAILLOMA;191098;Lima;Lima;LIMA
19/06/2019;17215954;PEN;300;1/07/2019;194763;1;AG. CASTRO IGLESIAS;194063;San Juan de Miraflores;Lima;LIMA
19/06/2019;17216008;USD;0;19/06/2019;194786;1;AG. CC.MONTERRICO;194086;Santiago de Surco;Lima;LIMA
19/06/2019;17216013;PEN;0;19/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
19/06/2019;17216015;PEN;1;19/06/2019;193820;1;AG. ANGAMOS;193020;Surquillo;Lima;LIMA
19/06/2019;17216025;PEN;4997;25/06/2019;550208;1;AG. TARAPOTO BCA SERV.;550000;Tarapoto;San Martin;SAN MARTIN
19/06/2019;17216053;USD;400;26/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
19/06/2019;17216088;PEN;2000;20/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
19/06/2019;17216090;PEN;0;20/06/2019;550208;1;AG. TARAPOTO BCA SERV.;550000;Tarapoto;San Martin;SAN MARTIN
19/06/2019;17216097;PEN;0;19/06/2019;255208;1;AG. CANETE BCA SERV.;255000;San Vicente de Cañete;Cañete;LIMA
19/06/2019;17216106;PEN;700;20/06/2019;30;1;AG. TARAPACA;191030;Rimac;Lima;LIMA
19/06/2019;17216108;PEN;0;19/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
19/06/2019;17216110;PEN;421;24/06/2019;194724;1;AG. VILLA EL SALVADOR;194024;Villa El Salvador;Lima;LIMA
19/06/2019;17216124;PEN;1;19/06/2019;47;1;AG.PARURO;191047;Lima;Lima;LIMA
19/06/2019;17216127;PEN;0;19/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
19/06/2019;17216157;PEN;1;19/06/2019;82;1;AG.EL SOL;191082;San Juan de Lurigancho;Lima;LIMA
19/06/2019;17216171;PEN;0;20/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
19/06/2019;17216187;PEN;0;19/06/2019;285951;1;AG. LARAPA;285005;San Jeronimo;Cusco;CUSCO
20/06/2019;17216203;PEN;5000;20/06/2019;192609;1;AG.PLAZA SAN MIGUEL;192009;San Miguel;Lima;LIMA
20/06/2019;17216209;USD;551;20/06/2019;550970;1;AG. ALCIDES CARRION;550001;Tarapoto;San Martin;SAN MARTIN
20/06/2019;17216220;PEN;6292735;20/06/2019;550970;1;AG. ALCIDES CARRION;550001;Tarapoto;San Martin;SAN MARTIN
20/06/2019;17216417;PEN;5000;20/06/2019;173;1;Punto Bcp Santa Clara;191173;Ate;Lima;LIMA
20/06/2019;17216443;PEN;645;24/06/2019;193820;1;AG. ANGAMOS;193020;Surquillo;Lima;LIMA
20/06/2019;17216662;PEN;748;24/06/2019;570964;1;AG. REAL PLAZA TRUJILLO;570011;Trujillo;Trujillo;LA LIBERTAD
10/06/2019;17183133;PEN;1091;17/06/2019;410208;1;AG. LA MERCED BCA SERV.;410000;Chanchamayo;Chanchamayo;JUNIN
10/06/2019;17183548;PEN;392;10/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
10/06/2019;17183775;PEN;100;17/06/2019;193803;1;AG. CAMACHO;193003;La Molina;Lima;LIMA
10/06/2019;17183843;PEN;500;11/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
10/06/2019;17184007;USD;356;19/06/2019;550208;1;AG. TARAPOTO BCA SERV.;550000;Tarapoto;San Martin;SAN MARTIN
10/06/2019;17184123;PEN;4995;11/06/2019;255208;1;AG. CANETE BCA SERV.;255000;San Vicente de Cañete;Cañete;LIMA
10/06/2019;17184311;USD;34;13/06/2019;194761;1;AG.OPEN PLAZA ANGAMOS;194061;Surquillo;Lima;LIMA
10/06/2019;17184902;PEN;399;11/06/2019;400208;1;AG. JAUJA BCA SERV.;400000;Jauja;Jauja;JUNIN
10/06/2019;17185473;PEN;2;13/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
10/06/2019;17185491;PEN;35;20/06/2019;355208;1;AG. HUANCAYO BCA SERV.;355000;Huancayo;Huancayo;JUNIN
10/06/2019;17185503;PEN;100;18/06/2019;23;1;AG.HABICH;191023;San Martin de Porres;Lima;LIMA
10/06/2019;17185594;PEN;114;18/06/2019;285208;1;AG. CUSCO BCA SERV;285000;Cusco;Cusco;CUSCO
10/06/2019;17185600;PEN;100;24/06/2019;193803;1;AG. CAMACHO;193003;La Molina;Lima;LIMA
10/06/2019;17185682;PEN;984;12/06/2019;194746;1;AG. PRIMAVERA MONTERRICO;194046;Santiago de Surco;Lima;LIMA
10/06/2019;17185812;PEN;1614;11/06/2019;430208;1;AG. MOQUEGUA BANCA DE SERV.;430000;Moquegua;Mariscal Nieto;MOQUEGUA
